Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti,Chrome 89.0.4389.90,,,2021-03-19 14:06:26,2021-03-19 15:13:42,1h - 7m - 16.455s,ERROR
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_SingleBureauSite_SingleLinePayment,Chrome 89.0.4389.90,,,2021-03-19 14:06:31,2021-03-19 14:21:33,15m - 2.030s,PASSED
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-19 14:06:31,2021-03-19 14:06:31,0.003s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-19 14:06:32,2021-03-19 14:06:33,0.978s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-19 14:06:33,2021-03-19 14:06:33,0.001s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-19 14:06:33,2021-03-19 14:21:32,14m - 58.597s,PASSED
return paymentIdList,Chrome 89.0.4389.90,,,2021-03-19 14:21:32,2021-03-19 14:21:32,0.001s,PASSED
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-19 14:21:32,2021-03-19 14:21:33,1.174s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_002_MultiBureauSite_SingleBureau_MultiLinePayment,Chrome 89.0.4389.90,,,2021-03-19 14:21:33,2021-03-19 14:22:32,58.958s,ERROR
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-19 14:21:33,2021-03-19 14:21:33,0.000s,PASSED
"data = findTestData(""Certpay/SingleBureau_MultiLine"")",Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.214s,PASSED
amountList = [],Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.001s,PASSED
referenceList = [],Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.000s,PASSED
paymentTypeList = [],Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.000s,PASSED
quantityList = [],Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.000s,PASSED
commentsList = [],Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.000s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.000s,PASSED
list = new java.util.ArrayList(),Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:21:34,0.001s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-19 14:21:34,2021-03-19 14:22:32,57.502s,ERROR
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-19 14:22:32,2021-03-19 14:22:32,0.000s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_003_MultiBureauSite_SingleBureau_SingleLinePayment,Chrome 89.0.4389.90,,,2021-03-19 14:22:32,2021-03-19 15:09:34,47m - 2.626s,ERROR
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-19 14:22:32,2021-03-19 14:22:32,0.000s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-19 14:22:32,2021-03-19 14:22:32,0.047s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-19 14:22:32,2021-03-19 14:22:32,0.000s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-19 14:22:32,2021-03-19 15:09:34,47m - 2.193s,ERROR
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-19 15:09:34,2021-03-19 15:09:34,0.000s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_005_MultiBureauSite_MultiBureaus_MultiLinePayments,Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:11:44,2m - 9.362s,ERROR
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
"data = findTestData(""Certpay/MultiBureau_MultiLine"")",Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.047s,PASSED
amountList = [],Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
referenceList = [],Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
paymentTypeList = [],Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
quantityList = [],Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
commentsList = [],Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
paymentIdList = [],Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
list = new java.util.ArrayList(),Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:09:35,0.000s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-19 15:09:35,2021-03-19 15:11:43,2m - 8.164s,ERROR
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-19 15:11:43,2021-03-19 15:11:44,0.850s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_004_MultiBureauSite_MultiBureaus_SingleLinePayment,Chrome 89.0.4389.90,,,2021-03-19 15:11:44,2021-03-19 15:13:42,1m - 57.866s,ERROR
Start listener action : beforeTestCase,Chrome 89.0.4389.90,,,2021-03-19 15:11:45,2021-03-19 15:11:45,0.001s,PASSED
"data = findTestData(""Data Files/Certpay/MultiBureau_SingleLine"")",Chrome 89.0.4389.90,,,2021-03-19 15:11:46,2021-03-19 15:11:46,0.151s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 89.0.4389.90,,,2021-03-19 15:11:46,2021-03-19 15:13:41,1m - 55.589s,ERROR
Start listener action : afterTestCase,Chrome 89.0.4389.90,,,2021-03-19 15:13:41,2021-03-19 15:13:42,0.936s,PASSED
